Name,Exit Velocity,Ball Velocity,Launch Angle,Exit Direction,Spin,Distance,S Zone X,S Zone Y,,,,,,
Carnegie,82.7 ,86.1 ,54.6 ,42.7,4094 ,237 ,-1.1 ,38.8 ,,,,,,
Carnegie,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Russell,97.9 ,84.3 ,6.6 ,16.9,2659 ,200 ,-10.8 ,26.2 ,,,,,,
Russell,94.9 ,83.3 ,30.4 ,-1.8,2950 ,365 ,1.8 ,32.3 ,,,,,,
Russell,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Russell,42.6 ,82.9 ,-23.5 ,-6.3,500 ,4 ,-0.9 ,15.7 ,,,,,,
Russell,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Russell,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Russell,90.1 ,83.3 ,5.2 ,-10.9,673 ,99 ,4.6 ,31.3 ,,,,,,
Russell,82.6 ,84.0 ,33.1 ,29.7,3133 ,278 ,10.4 ,13.7 ,,,,,,
Russell,89.9 ,84.7 ,18.1 ,-8.6,1290 ,308 ,3.7 ,32.6 ,,,,,,
Russell,66.7 ,83.3 ,-25.5 ,-41.2,500 ,4 ,1.0 ,25.3 ,,,,,,
Russell,86.9 ,84.0 ,1.7 ,16.4,1386 ,66 ,-3.4 ,31.4 ,,,,,,
Russell,97.8 ,84.0 ,16.6 ,-1,1584 ,349 ,-1.4 ,34.6 ,,,,,,
Russell,NA,87.5 ,NA,NA,NA,NA,NA,NA,,,,,,
Russell,92.9 ,85.7 ,11.8 ,13.1,2255 ,249 ,-8.3 ,36.5 ,,,,,,
Russell,84.2 ,84.0 ,15.9 ,12.5,1830 ,241 ,-1.4 ,27.1 ,,,,,,
Russell,69.2 ,83.3 ,25.0 ,33.3,3588 ,170 ,5.0 ,19.5 ,,,,,,
